dataset,method,venue,smiles_pcc,smiles_r2,plate_pcc,plate_r2
BBBC021,TabR-S-D,ICLR'24,0.193195,-0.243562,0.627991,0.375839
BBBC021,RealMLP,NeurIPS'24,0.142068,-0.210749,0.636136,0.393581
BBBC021,RF-TD,NeurIPS'24,0.199861,-0.086779,0.642376,0.398283
BBBC021,FLAML,MLSys'21,0.248470,-0.006527,0.668361,0.433989
BBBC021,Random Search,JMLR'12,0.264001,0.069563,0.659004,0.427683
BBBC021,VeriCell,Ours,0.354503,0.101818,0.782817,0.610901
BBBC036,TabR-S-D,ICLR'24,0.017359,-0.042822,0.016125,-26.7865
BBBC036,RealMLP,NeurIPS'24,0.036643,-0.070710,0.015898,-16.6737
BBBC036,RF-TD,NeurIPS'24,0.021147,-0.051031,0.030087,-0.370862
BBBC036,FLAML,MLSys'21,0.009910,-0.144244,0.010865,-1.54632
BBBC036,Random Search,JMLR'12,0.007028,-0.031410,0.110260,-5.07284
BBBC036,VeriCell,Ours,0.012494,-0.670076,0.217630,-0.019057
BBBC047,TabR-S-D,ICLR'24,0.000239,-0.000463,-0.000207,-0.034729
BBBC047,RealMLP,NeurIPS'24,0.000897,-0.003566,0.002486,-0.275985
BBBC047,RF-TD,NeurIPS'24,0.006724,-0.002479,0.055473,-0.188552
BBBC047,FLAML,MLSys'21,0.013120,-0.000890,0.122753,-0.078784
BBBC047,Random Search,JMLR'12,0.006901,-0.000329,0.005378,-0.015827
BBBC047,VeriCell,Ours,0.013672,-0.000380,0.125609,-0.006182
CPG0016,TabR-S-D,ICLR'24,0.001740,-0.208816,0.000873,-0.217920
CPG0016,RealMLP,NeurIPS'24,0.000422,-1.66827,0.000707,-1.57166
CPG0016,RF-TD,NeurIPS'24,0.006152,-1.12400,0.004131,-1.08857
CPG0016,FLAML,MLSys'21,0.018383,-0.745040,0.012939,-0.753286
CPG0016,Random Search,JMLR'12,0.009662,-0.068820,0.007158,-0.500952
CPG0016,VeriCell,Ours,0.019677,-0.060761,0.014441,-0.606365
