regime,method,rmse,pcc,positive_p100,negative_p100
Seven Cell Lines,DeepCE,0.5812 ± 0.001,0.1265 ± 0.003,0.2071 ± 0.002,0.1505 ± 0.003
Seven Cell Lines,CIGER,0.5840 ± 0.001,0.0568 ± 0.043,0.1470 ± 0.030,0.1262 ± 0.016
Seven Cell Lines,MultiDCP,0.5817 ± 0.002,0.2037 ± 0.029,0.2297 ± 0.009,0.1850 ± 0.017
Seven Cell Lines,TranSiGen,0.5864 ± 0.001,0.4634 ± 0.001,0.3390 ± 0.003,0.3380 ± 0.002
Seven Cell Lines,VeriCell,0.5828 ± 0.000,0.5567 ± 0.000,0.4036 ± 0.000,0.3781 ± 0.000
Full Data,DeepCE,0.6430 ± 0.002,0.1003 ± 0.001,0.1953 ± 0.005,0.1390 ± 0.001
Full Data,CIGER,0.6416 ± 0.001,0.0947 ± 0.003,0.1851 ± 0.002,0.1363 ± 0.002
Full Data,TranSiGen,0.6897 ± 0.002,0.4411 ± 0.003,0.3207 ± 0.004,0.3242 ± 0.002
Full Data,VeriCell,0.6242 ± 0.000,0.4692 ± 0.000,0.3442 ± 0.000,0.3421 ± 0.000
Common Support Full,DeepCE,0.6261 ± 0.000,0.1044 ± 0.000,0.1994 ± 0.003,0.1443 ± 0.003
Common Support Full,CIGER,0.6288 ± 0.001,0.0920 ± 0.003,0.1851 ± 0.003,0.1337 ± 0.002
Common Support Full,MultiDCP,0.6216 ± 0.002,0.1528 ± 0.028,0.2084 ± 0.007,0.1709 ± 0.016
Common Support Full,TranSiGen,0.6757 ± 0.001,0.4440 ± 0.001,0.3226 ± 0.003,0.3159 ± 0.003
Common Support Full,VeriCell,0.6146 ± 0.000,0.4770 ± 0.000,0.3722 ± 0.000,0.3808 ± 0.000
